source,target,connection_type,justification,weight
6BF6YD1990nsZr8DVZL9j1,3joSo5cx7WLe18uEEdu3Oj,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,3BoIHWjO48jLcdFby2P8D3,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,6Ff4RmRYkznFT9mv4uVo2h,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,4jchz0e8ppRtrfOzXHG5Vv,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,4lNeLiwxBC6J9kJxUtJLxh,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
5rmkJLumcEodfIXSMaK7vq,4xd3yfdqutRzZuWlqZCT2p,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,1tibdJ0jx2CVC3BuqefUUl,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,5G1yuoxruASATXoZWAUyCU,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,6RYPKSSDUgpgzyFdzEBPJP,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,6wGtU984VFxR5nT4T4F2Xi,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,5yDFc5jGvdGD833PjtrknP,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,5maqE0Bx0zNFvliGm50VBi,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,07eSFBlsPsdyi6GPofl6Y9,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,5gdMxfZW9tkKVxifyNCulZ,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,07OupZibyc5OR3xSw6TcGZ,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,3WJsbRrS5rE2FxBWe1Pkhq,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,4kDJ3wToUoZxnCgHeFrSPI,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
5rmkJLumcEodfIXSMaK7vq,0doBBBGIPsA0rtRQCqQewB,mood_affinity,valence=0.18 energy=0.92 mood=-0.74,-0.738
